rank	serial	Bike ID	biketype_id	Bikenumber	last_communication	battery	real_battery	battery_state	reason	place	terminal_id	last_terminal_snap	firmware_version	target_firmware	configuration_version	mode	series_id	target_configuration	esp_firmware_version	target_esp_firmware	language_version	snap_id	snap_rev	snap_rev_date	iccid	imei	imsi	last_communication_snap	last_communication_sim	server	city	is_lent	active	repair	campaign_id	pedelec	street2	comments	pedelec_battery	lock_types	locked	is_charging	last_charging	spike_id	resource_blockage
1	10000136255	181347	214	410029	"2025-09-19 00:12:01"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0								""		862785049755096		"2025-09-19 00:12:01"	"2025-09-19 00:12:01"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
2	10000335641	181287	214	410089	"2025-09-17 08:59:59"	164	4,1940	"CHARGED CF"	"HEARTBEAT"	"Almacen"	""					0										866833043099008		"2025-09-17 08:59:59"	"2025-09-17 08:59:59"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
3	10000137799	181339	214	410037	"2025-08-26 19:18:24"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										868963047436753		"2025-08-26 19:18:24"	"2025-08-26 19:18:24"		408	0	0	0	5151	1	""	"pruebas viernes 30 Mayo"	0	"scooter_motor_lock"	1	0		0	"null"
4	10000135690	181360	214	410016	"2025-06-14 03:41:21"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										862785049726477		"2025-06-14 03:41:21"	"2025-06-14 03:41:21"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
5	10000138431	181375	214	410001	"2025-06-10 04:34:48"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										868963043884949		"2025-06-10 04:34:48"	"2025-06-10 04:34:48"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
6	10000131926	181297	214	410079	"2025-06-08 09:26:35"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0								""		864431040514780		"2025-06-08 09:26:35"	"2025-06-08 09:26:35"		408	0	0	0	5151	1	""	"En Oficina para uso de empleados. "	0	"scooter_motor_lock"	1	0		0	"null"
7	10000209478	181303	214	410073	"2025-06-06 12:10:12"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										860640057481527		"2025-06-06 12:10:12"	"2025-06-06 12:10:12"		408	0	0	1	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
8	10000204901	181356	214	410020	"2025-06-05 19:59:59"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										867604053789120		"2025-06-05 19:59:59"	"2025-06-05 19:59:59"		408	0	0	1	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
9	10000138505	181322	214	410054	"2025-06-05 16:58:39"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										868963047061957		"2025-06-05 16:58:39"	"2025-06-05 16:58:39"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
10	10000173853	181359	214	410017	"2025-06-04 17:20:54"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										860640054949435		"2025-06-04 17:20:54"	"2025-06-04 17:20:54"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
